Scenario,ScenName,Activity,Year,Median,CI_High,CI_Low
1,Lim,grass,24,-0.00043627,-0.000411957,-0.000460294
1,Lim,grass,25,-0.000436054,-0.000411644,-0.000460656
1,Lim,grass,26,-0.000436644,-0.000411075,-0.000462501
1,Lim,grass,27,-0.000436885,-0.000411323,-0.000461147
1,Lim,grass,28,-0.000437524,-0.000413391,-0.000461119
1,Lim,grass,29,-0.000436894,-0.000412393,-0.000461539
1,Lim,grass,30,-0.000435499,-0.000410725,-0.000461324
1,Lim,grass,31,-0.000436005,-0.000411309,-0.000462631
1,Lim,ifm,1,-0.353270731,-0.33955633,-0.366671641
1,Lim,ifm,2,-0.708956791,-0.68045234,-0.73630512
1,Lim,ifm,3,-1.068203637,-1.025679758,-1.108310078
1,Lim,ifm,4,-1.432142642,-1.378094465,-1.487865141
1,Lim,ifm,5,-1.796663833,-1.722649592,-1.86168737
1,Lim,ifm,6,-2.163909023,-2.085482103,-2.245420706
1,Lim,ifm,7,-2.533885305,-2.438983246,-2.635599454
1,Lim,ifm,8,-2.906991615,-2.802720116,-3.026538697
1,Lim,ifm,9,-3.285887132,-3.159254766,-3.410294092
1,Lim,ifm,10,-3.664902187,-3.516471274,-3.799086978
1,Lim,ifm,11,-3.686991911,-3.540492017,-3.830801185
1,Lim,ifm,12,-3.711991612,-3.572403958,-3.859341856
1,Lim,ifm,13,-3.739681585,-3.600548322,-3.880403573
1,Lim,ifm,14,-3.764137206,-3.620045267,-3.901773714
1,Lim,ifm,15,-3.784118797,-3.646893376,-3.926836844
1,Lim,ifm,16,-3.795694516,-3.658022233,-3.945336907
1,Lim,ifm,17,-3.824668874,-3.679642562,-3.967422811
1,Lim,ifm,18,-3.842377869,-3.708101187,-3.986132271
1,Lim,ifm,19,-3.854095546,-3.722702455,-4.001719922
1,Lim,ifm,20,-3.879334649,-3.741543124,-4.017755148
1,Lim,ifm,21,-3.895590108,-3.752427776,-4.033429932
1,Lim,ifm,22,-3.911090876,-3.752794885,-4.052565422
